"couple"	"ppnr"	"beepnr"	"DayESM"	"happy"	"relaxed"	"enact_respons"	"together_0"	"together_1"
12	12	51	6	61	66	66	NA	1
12	12	52	6	92	76	72	NA	1
12	12	53	7	76	74	65	NA	1
12	12	54	7	43	48	48	1	NA
12	12	55	7	48	44	39	1	NA
12	12	56	7	53	57	59	NA	1
12	12	57	7	66	51	50	NA	1
12	12	58	7	NA	NA	NA	NA	NA
12	12	59	8	72	69	63	NA	1
12	12	60	8	79	64	58	NA	1
12	12	61	8	53	51	60	NA	1
12	12	62	8	16	0	20	NA	1
12	12	63	8	58	58	63	NA	1
12	12	64	8	25	26	70	NA	1
13	13	1	1	NA	NA	NA	NA	NA
13	13	2	1	80	77	76	NA	1
13	13	3	1	88	82	96	NA	1
13	13	4	1	80	60	87	NA	1
13	13	5	1	49	50	77	NA	1
13	13	6	1	87	65	92	NA	1
13	13	7	2	NA	NA	NA	NA	NA
13	13	8	2	NA	NA	NA	NA	NA
13	13	9	2	NA	NA	NA	NA	NA
13	13	10	2	45	36	83	1	NA
13	13	11	2	61	55	91	NA	1
13	13	12	2	51	53	85	NA	1
13	13	13	2	56	56	88	1	NA
13	13	14	2	63	46	76	1	NA
13	13	15	2	81	68	91	1	NA
13	13	16	2	61	58	84	1	NA
13	13	17	2	86	70	74	NA	1
13	13	18	2	78	61	72	NA	1
13	13	19	2	72	71	73	NA	1
13	13	20	2	70	70	87	NA	1
13	13	21	3	83	47	82	NA	1
13	13	22	3	88	76	86	NA	1
13	13	23	3	NA	NA	NA	NA	NA
13	13	24	3	89	91	89	NA	1
13	13	25	3	97	94	87	NA	1
13	13	26	3	97	80	100	NA	1
13	13	27	3	84	76	93	NA	1
13	13	28	3	92	89	86	NA	1
13	13	29	3	88	70	87	NA	1
13	13	30	3	74	54	100	NA	1
13	13	31	3	100	86	92	NA	1
13	13	32	3	100	91	87	NA	1
13	13	33	3	96	96	100	NA	1
13	13	34	3	95	91	100	NA	1
13	13	35	4	94	98	88	NA	1
13	13	36	4	56	86	93	NA	1
13	13	37	4	79	62	98	NA	1
13	13	38	4	100	100	84	NA	1
13	13	39	4	100	93	83	NA	1
13	13	40	4	62	71	100	NA	1
13	13	41	5	100	100	100	NA	1
13	13	42	5	68	60	100	NA	1
13	13	43	5	57	53	88	NA	1
13	13	44	5	100	93	94	NA	1
13	13	45	5	95	80	86	NA	1
13	13	46	5	86	67	68	NA	1
13	13	47	6	60	46	81	NA	1
13	13	48	6	61	61	91	NA	1
13	13	49	6	78	71	88	NA	1
13	13	50	6	98	77	100	NA	1
13	13	51	6	83	84	100	NA	1
13	13	52	6	83	64	77	NA	1
13	13	53	7	47	50	92	NA	1
13	13	54	7	83	77	82	NA	1
13	13	55	7	100	88	100	NA	1
13	13	56	7	82	74	97	NA	1
13	13	57	7	77	76	74	NA	1
13	13	58	7	84	92	91	NA	1
13	13	59	8	94	72	97	NA	1
13	13	60	8	78	58	76	NA	1
13	13	61	8	59	54	88	NA	1
13	13	62	8	79	74	90	NA	1
13	13	63	8	71	59	88	NA	1
13	13	64	8	62	72	83	NA	1
14	14	1	1	86	75	77	NA	1
14	14	2	1	79	77	80	NA	1
14	14	3	1	72	65	71	NA	1
14	14	4	1	71	78	70	NA	1
14	14	5	2	68	61	94	1	NA
14	14	6	2	66	63	77	NA	1
14	14	7	2	64	66	79	NA	1
14	14	8	2	60	56	63	NA	1
14	14	9	2	56	66	74	NA	1
14	14	10	2	64	79	67	NA	1
14	14	11	2	80	81	90	NA	1
14	14	12	2	64	80	76	NA	1
14	14	13	2	61	73	76	NA	1
14	14	14	2	63	63	86	NA	1
14	14	15	2	62	64	76	NA	1
14	14	16	2	50	51	66	NA	1
14	14	17	2	59	56	78	NA	1
14	14	18	2	73	84	76	NA	1
14	14	19	3	75	77	74	NA	1
14	14	20	3	86	87	75	NA	1
